motivo,count
DESCONTO CEDIDO PELO GERENTE,2
Alinhado direceu,2
Desconto Eto,2
AJUSTE DE FATURAMENTO,1
Alinhamento comercial.,1
Desc aut Ger Nucleo Vandelino,1
"Conforme conversado com o Paulo, liquidação das câmara de ar que está antiga em nosso estoque",1
"Condição para cooperado, sempre compra volume conosco e dá preferencia.",1
"Preço de mercado, consultado ontem e estava a 1400,00 na Cooxupé, cooperado veio buscar hoje",1
Acompanha condição comercial,1
"acompanhar preços coopercitrus, cooperada fechou pacote, faltou 40 lts",1
Desconto autorizado pelo gerente.,1
desconto ofertado para fechar nenócio,1
Desconto solicitado para chegar no preço da concorrência Futura.,1
Cobrir oferta Sagra. Alinhado Com Talles,1
"Desconto autorizado pelo supervisor, calça danificada.",1
Autorização de desconto pedido fechado com o cooperado alinhado com o gerente Inácio Orani Melo preço acompanhando concorrente Coopercam,1
Preços negociados - Gustavo Basf.,1
para acompanhar o mercado Robinho agricola faz esse preço,1
Desconto pra igualar a concorrência  -  Coopercitrus,1
DESCONTO ACERTADO COOP/INACIO,1
Cooperado adquire todos produtos na COOXUPÉ,1
Desconto aut ger vandelino,1
desconto tossani,1
"Compra a vista, no pix, ADUBO VENCIDO, AVARIADO.",1
LIQUIDAÇÃO POR VENCIMENTO,1
Alinhado com gestor.,1
a fim de chegar no preço de negociação,1
acompanhar preço de coocapec,1
"Alinhado com gerência, com base no preço de custo.",1
Produto com vencimento próximo. Vencimento Jan/2026,1
VALIDADE PROXIMA,1
limpa estoque -  resto de porduto - Mauro Pinheiro,1
Cliente cereais,1
"Galão furado, faltando produto - acertado Mauro Pinheiro",1
Cooperado tem  na casa do café e dará a preferência para Cooxupé,1
ajuste comercial compra a vista.,1
COMBATE CONCORRENCIA,1
Desconto concedido pela gerente Michelle pois o produto estava próximo da data de vencimento.,1
Conccorencia,1
NEGOCIADO COM COOPERADO,1
Produto com validade proxima ao vencimento,1
"Desconto concedido pela gerente, item com vencimento proximo.",1
Condição para produto próximo ao vencimento.,1
Alinhamento com o gerente.,1
Preço concorrente,1
Alinhado com gestor,1
Está com defeito. Meu supervisor aprovou,1
"Cooperado fez cotação na Coopercitrus à R$ 97,00",1
Complemento de peso da ordem de venda 11844295. Caminhão passou 100 kg no pedo.,1
Refaturamento no prazo para o titulo ser pago com credito que será gerado com o cancelamento,1
"Desconto para cooperado.
Para mantermos preço com o da concorrência.",1
Desconto aplicado para combater concorrência COOPERCAM,1
ajuste ração revenda eder.,1
Cooperado tem na cocapec e dará a preferência para Cooxupé avista,1
"Concorrência
 - Cliente tem este preço na Futura.",1
DESCONTO AUTORIZADO PELO GERENTE DO NUCLEO COM ALINHAMENTO JUNTO AO FORNECEDOR,1
Preço concorrência,1
item48881 esta próximo o vencimento,1
compra de   ração     gerente   /  cooperado,1
Fábio Miltão,1
"Está com defeito. 
Meu supervisor aprovou",1
autorizado por Ana Cassia,1
desconto pagamento a vista com 30 dias !!,1
cooperado tem esse preço na bolsa,1
"Desconto aprovado pelo gestor, cliente muito bom.",1
Acompanhar preço da concorrência.,1
Autorização de desconto pedido avista fechado com o cooperado alinhado com o gerente Inácio Orani Melo e Emerson Caselato,1
Acerto Comercial Com Flávio (Gerente Rio Paranaíba-MG). Acompanhar Mercado.,1
"Desconto ajustado entre cooperado e o Milton por se tratar de fertilizantes de ponta de estoque, molhado empedrado e faltando peso.",1
Ração com vencimento próximo dia 25-01-2026  está Danificada.,1
AJUSTAR CONFORME CONCORRENCIA,1
Desconto aplicado para combater concorrência Coopercam. com o de acordo do Inácio.,1
"Por favor, conceder desconto ao cooperado, para igualar com o preço do concorrente.",1
"forno com 1 detalhe, cooperado leva, desde parcelado em 3 vezes",1
PAGAMENTO CURTO PRAZO,1
ACOMPANHAR PREÇO CONCORRENCIA - COOPERCAM / AUTORIZADO INACIO,1
Desconto autorizado Gerente.   Condição   á vista .,1
complementação de volume,1
Desconto aplicado conforme negociação entre o Gerente Inácio e o cooperado.,1
PRODUTO VENCIDO E PEDRADO - TODO ESTOQUE DESTE ITEM COM PROBLEMAS.,1
Desconto para acompanhar o preço da concorrência.,1
Acompanhar preço concorrente.,1
"Desconto concedido pela gerente, item próximo de vencimento",1
Vencido e pedrado. Alinhado Com Dirceu,1
Liquidação de estoques - Produto vencido -Alinhado com a gerencia,1
Desconto para cobrir preço da concorrência.,1
"Todos os produtos na nota encontram-se danificados e/ou vencidos. O cooperado está fazendo uma ""limpa "" no nosso estoque e para levar tudo, fizemos o desconto um pouco maior.",1
Desconto devido a ajuste de embalagem.,1
Cooperado tem o mesmo na Cocapec por 1730 o galão para 90 dias  e daria a preferência para Cooxupé a esse preço,1
preço para ganharmos cotaçao concorrente coopercitrus,1
condição comercial,1
Fábio - Acompanhar preço do mesmo que fizemos começo da semana,1
Desconto necessario para concluir a negociação,1
Concoorencia,1
condição  comercial  gerete  / cooperado,1
Ajuste de peço acertado por motivo de ponta de estoque molhado.,1
acompanha concorrencia,1
"Por favor conceder desconto ao cooperado, para igualar com preço do concorrente.",1
Atender a demanda do cliente conforme condições comerciais alinhadas com Marcelo CTC.,1
desconto ração,1
Cotação Específica - Alinhado Comercial Insumos,1
Autorização de desconto pedido fechado com o cooperado preço acompanhando concorrente Coopercam,1
desconto alinhado com gerente,1
Solicitação de desconto para acompanhar a concorrência - estoque disponível,1
condição  comercial  gerente,1
acompanhar preço,1
acompanhar prelo coopama,1
preços da coopama,1
"Sal com vencimento em 06-FEV-26, custo 76,11/ sc",1
oncorrencaia,1
Parte de saldo de adubo vencido e empedrado que que se encontra em nosso estoque. Desconto devido a qualidade do produto. Preço acertado com Dirceu Custo de estoque.,1
desconto do gerente,1
Preço passado na sexta-feira como precisava ser lançado a vista caixa e o caixa havia fechado deixamos para lançar hoje. Pedi autorização para o Rafael.,1
alinhado com gerente,1
DESCONTO 3 ACOMPANHAR PREÇO DE MERCADO,1
Desconto para igualar preço do mercado local.,1
Desconto combinado pelo CTC Marcelo.,1
Desconto Revenda Petúnia.,1
Acompanhar o preço da concorrência,1
"pedido 3% para fechamento pacote, complemento.",1
cooperado fecha nesse preço,1
desconto combinado para revenda,1
"Cliente adquire todos itens para rações na Cooxupé, em volumes razoáveis, valor em questão chega próximo ao praticado para cooperado",1
Promoção ação de vendas,1
Favor conceder desconto ao cooperado.,1
desconto linha 10%,1
Desconto da promoção.,1
Desconto aplicado para combater concorrência COOPERCAM. Com o de acordo do Inácio,1
Cotação Específica -  Alinhado com Comercial Insumos,1
desconto promocao 10%,1
complemento de pedido,1
"Desconto solicitado para fechamento do conjunto de produtos, cooperado cotou em outra cooperativa, preferência Cooxupé.",1
favor aplicar desconto de 10% da promoção,1
adubo molhado.,1
DESCONTO COMERCIAL  OBS : CONVERSEI COM RAFAEL,1
Promoção ação de vendas semana dia 19/01 a 23/01 .,1
Desconto de acordo com a campanha. Gerente de acordo,1
acompanhar preços da coopercitrus,1
aprovado pelo rafael insumos,1
"item um pouco daificado(ferrugem), mesmo preço por metro no item de 1000 mt",1
Compra a vista,1
COOPERADO HAVIA PREÇO MELHOR NO CONCORRENTE A 440,1
Desconto autorizado pelo aupervisor.,1
"cooperado tem na bolsa nesse valor a vista, se conseguirmos ira dar preferencia para nós!",1
COBRIR OFERTA CAMPNEUS,1
"Solicitação de desconto acompanhar a concorrência, complemento de pulverização",1
autorizado Junior ICL,1
10% PROMOCAO,1
DESCONTO 10 %CAFE,1
RELÓGIO SEM BATERIA.,1
Desc da Promoção Botinas Anatomic Gel,1
Promoção no empório,1
desconto 10% botina cooxupe,1
Favor conceder desconto de 3% ao cooperado.,1
Limpa estoque L22. Acompanhar condição comercial a preço de cooperado.,1
botinas cooxupe 10% desconto,1
"Liquidação de estoque, produto vencido, alinhado com a gerência.",1
COTAÇÃO CASA DO CAFÉ,1
"Desconto para fechamento, não possui outra embalagem maior no estoque.",1
desconto alinhado com Joaquim.,1
Cotação Especifica - Leiliene,1
Desconto solicitado para efetivar negociação com o cooperado.,1
"Acompanhar condição comercial encontrada no mercado. 

Limpa estoque L22.",1
Acerto comercial p/ peso,1
"Adubo vencido e pedrado, limpar estoque,",1
Desconto devido ao vencimento próximo 20/01,1
acompanhar condição da minasul,1
TERCEIRO/COOPERADO,1
Colaborador,1
Desconto alinhado com Sergio Cruvinel.,1
"Concorrente Agropec esta praticando R$ 450,00",1
desconto botinas 10,1
"Preço negociado, balizado mercado",1
desconto 10% cafe,1
Preciso do desconto novamente - tive que refazer. Deu problema no caixa,1
Acerto Comercial,1
Promoção da semana do dia 19 a 23/01.,1
Funcinária,1
PROMOÇÃO EMPORIO,1
Liquidação de estoques - Fertilizante danificado- Alinhado com a Gerencia,1
Desconto De acordo com Ademir,1
Produto danificado,1
Preço na cooperativa de Paraguaçu,1
Limpa estoque - Produto vencido.,1
Promoção do emporio,1
DESCONTO NECESSÁRIO PARA FECHAR CAIXA,1
Desconto Joaquin,1
Preço concorrente PMG.,1
desconto 10%cafe,1
desconto 10 % cafe,1
Promoção Empório dia 19 a 23/01.,1
condição acertada comercial insumos,1
Promoção Empório semana dia 19 a 23/01 .,1
Promoção Empório dia 19 a 23/01 .,1
Acompanhar preço concorrente Sagra.,1
"Negociação realizada anteriormente (n° da ordem:11835282) em um volume maior. No entanto, faltou 1L para completar a aplicação na área.",1
Desconto alinhado com Leiliele para igualar a cotação realizada pelo cooperado em Rio Paranaíba.,1
por favor conceder desconto.,1
"cooperado tem na cocapec a esse preço, para pagamento com 90 dias! mas dara preferencia para cooxupe!",1
Alinhado com Paulo Otávio,1
acompahar preço coopama,1
desconto por motivo de defeito,1
Preço autorizado por Thales conforme email qui 08/01/2026 07:50.,1
Acompanhar preço da concorrência,1
Desconto acordado com o ADM da Bayer e Paulo Otavio,1
mix de produtos foi desmembrado em dois pedido,1
Fertilizante danificado - Alinhado com o gerente,1
COBRIR OFERTA MERCADO LIVRE,1
Venda Lucas CP,1
"Acerto Comercial Com Flávio (Gerente Rio Paranaíba-MG). Acompanhar Mercado. Custo Item R$3.154,53/TN.",1
Desconto solicitado para acompanhar preço da concorrência.,1
Mercadoria danificada,1
Negociação com cooperado.,1
Descontos concedido por Leiliele.,1
Liquidação de estoques - Fertilizant vencido- Alinhado com a gerencia,1
condição concorrente Geagro,1
